prompt,completion
姚老师，在智慧的修行道路上，怎样避免陷入过度严肃的境地，怎样才能像格西麦克老师一样风趣幽默呢？,谢谢你的提问，这是一个很好，也很有意思的问题。如果你有学习空性的智慧，并深刻理解笔的故事，你就会知道，这个笔是我们的种子创造出来的，所以格西麦克老师也像这支笔一样，是你的种子创造出来的。你应该为自己能够拥有这样风趣幽默的老师感到很开心，因为是你的种子让你看到这样的老师，这就意味着你也拥有风趣幽默的好种子。多随喜老师，多向老师学习，复制他人的成功，我们也可以成功。如果你很喜欢老师风趣幽默的风格，你可以先模仿，慢慢地，你也会潜移默化地变成一个越来越风趣幽默的人。另外，可以多听格西麦克老师的课，多去现场感受他那种快乐修行的能量。确实，我也像你一样，很喜欢老师这种快乐修行的状态。老师很多时候都会强调，精进不是要大家愁眉苦脸、苦大仇深地去修行。精进真正的含义是：快乐地享受你为他人所做的善行，快乐地享受你的修行，这个“快乐”很重要。在之前的泰国进修营中，格西麦克老师有一段话让我印象特别深刻。老师说：“当我们说我们要有菩提心，发愿说我要带领众生一起到达那个幸福快乐的彼岸时，要记住，那个众生里也包括你自己，不是说我要带领众生去到那里，希望众生快乐，结果自己却活得苦哈哈的。”格西麦克老师说这个不是菩提心，也不是修行的目的。你也是众生当中的一员，自己首先就要很快乐、很幸福，很享受地修行，让你身边的人看到你很快乐、享受你的修行，他们才会被感染。因为所有的人都想要快乐和幸福，如果你自己都不快乐、不幸福的话，怎么去感染和带动更多的人快乐和幸福呢？所以，如果有机会，就去多亲近老师，多去老师身边充电，看到老师时，随喜赞叹他，在你心里发愿：“我想成为老师这样的人“，你就会越来越开心和快乐，越来越风趣幽默，你也就会成为像老师一样快乐修行的人。
老师，我很害怕领导，不愿意主动向他汇报工作，也不愿意跟他交流，见到他的时候，甚至会躲着走。请问老师，我要怎样才能克服害怕见领导的心理？,你好，谢谢你的问题。我想这里是有一颗相应的种子，你要在自己的生活和工作当中找一找，你有没有在一些人际关系中处于主导地位？对方是处于相对弱势的，在跟你交往时有压力，基于这个压力对方会害怕见到你，同时会关闭心门，不愿意跟你交流和沟通。去找出这样的一个人，把他当成你的业力伙伴，通过帮助他改善他与你的关系，让你自己成为一个更和蔼、开放、包容、柔和的人，种下让别人轻松，愿意跟你交流的好种子。当这些种子开花结果时，你就不再恐惧见到领导了。另外，在一些人际关系中，尤其是在职位级别比我们高的人际关系中，内心有恐惧心理，通常来源于我们的傲慢心和分别心。傲慢心和分别心，就是我们内心对他人有很多的评判，而且是负面的，虽然嘴上没有讲出来，但如果你有带着觉知记录六时书的话，你就会发现：在每一天当中，你见到每一个人的时候，内心都会有很多评判。这些负面的评判，不一定完全是对外的，也有包括对自己的。对自己有很多的不欣赏与负面的看法，当这些种子成熟时，我们也会很恐惧去见一些职位比我们高的领导。所以，我们要经常提醒自己：多去欣赏自己和他人。关于如何欣赏自己和他人，姚老师在之前的互动交流会里有相关的主题分享，欢迎你点击“阅读原文”，到喜马拉雅“空中读书会”电台里收听。总之，学会多欣赏自己和他人，改善你在某一段关系中的状况，你将会看到，所有人际关系状况都会跟着改善。
老师，关于施与受冥想，我有两个问题想请老师帮忙解答。第一个问题是，我在做施与受冥想的时候，听着引导词，但产生不了画面感，该如何解决呢？第二个问题是，我想同时为两个或两个以上的对象做施与受冥想，这样可行吗？,谢谢你的提问。关于第一个问题，如何提升施与受冥想的画面感。首先，请这位同学不要着急，冥想中，画面感的增强，是需要长期的练习才能达成的。其次，建议你在做施与受冥想前，先来一个热身，做一下数呼吸冥想。数呼吸冥想可以帮助专注力的提升，专注力提升之后，冥想的画面感会自然而然地增强。最后，你可以先亲自拜访一下这位需要帮助的对象。带着觉知，去仔细观察TA的五官，特别是眼睛。同时，用心觉察 TA 急需帮助的部分，然后闭上眼睛，把这些画面留存于意识当中，再带入冥想。冥想时画面感强不强，取决于我们身临其境的感受力。但实际上，每个人的觉知力和感受力都不太一样。比如，视觉型的人，对影像的敏感度较高，冥想时画面就会很清晰，听觉型或嗅觉型的人，画面感会相对弱一些。像我们在黄金屋冥想中，当引导我们观想自己的老师来到我们身边，我们不仅会“看见”老师的模样、老师的眼睛，还会“感受”和老师促膝而坐时，膝盖相触的温度，甚至会“听见”老师的呼吸和心跳，“闻到”老师身上散发的清香。这个过程，就是在通过冥想的语言，引导每个人去探索自己的感受，可能是触觉、听觉，也可能是嗅觉或视觉。我们要深入感受下自己属于哪个类型，然后加强和发挥自己所属类型的能力，最终的目标都是一样的，就是创造强烈的“代入感”，让我们在冥想中，看到的不仅仅是一张图片，而是真实存在的一个个体，这对提高冥想的质量非常关键。第二个问题，关于冥想对象的数量。在一次冥想中，冥想对象最好只有一个人，这样才能让我们更专注。做冥想，专注力是一项很重要的技能。有很多的冥想，如果冥想对象超过一个，都会让我们分心，使冥想效果大打折扣。同时，破坏冥想的专注力，还会让我们种下不专注的种子。所以，在冥想的时候，请设定一位冥想对象，如果你想要多帮助几位亲人、朋友，那么，你可以多做几次冥想，分别去帮助他们。
姚老师，你好！我是做传统棉絮生意的，我们这一行利润低，价格也不稳定，客户还老是砍价；同行之间互撬客户时有发生，甚至互相杀价，导致最后只能以最低成本出售。对此，我想请教老师两个问题：一、怎么才能让客户不讨价还价、慷慨大方？二、如何避免客户被同行撬走，减少恶性竞争？,这位朋友，感谢你的提问。首先，我们来看看，当我们在做生意的时候，利润低、成本高，行业里都是小老板，大家互相恶性竞争，这样的行业状态是怎么被创造出来的？笔的故事、空性的智慧、种子的法则告诉我们，我们所经历的一切都来自于我们自己的种子。我们的世界，我们的行业、客户、合作伙伴，都是自己的种子创造出来的。我们的每一个起心动念，对待他人的方式，最终都会变成一个大大的西瓜，投射在我们的世界中。仔细地问一问自己的内心，当我们在做生意的时候，会不会有内心很纠结、价值观摇摆的时候？在自己经营生意当中，有没有一些错误的意识、错误的念头，以及一些错误的行为？比如，为了降低成本，去采购原材料的时候，压别人的价格；因为自己的生意很难做，赚钱很艰难，所以去买东西时，也爱讨价还价，设置很多让别人赚钱不顺利的障碍。有时会想以次充好，时常盘算怎样压别人的价格，提高自己的利润，有时还会撬别人的客户......哪怕没有实际的行动，但是，只要在意识当中有这些想法，就会造成我们现在所面临的这些局面。其次，如果你想要创造好的行业风气、创造不讲价又忠诚的客户，首先自己就要做到，但在这个低利润的行业里要做到这一点是不容易的，一个人的行为习气是不容易被改变的。对此，姚老师给你三个建议，你可以试着去做。第一，当然是学习智慧，坚持不懈地学习金刚智慧，你才会有勇气与信心坚持，去改变原有的状态。第二，不要再去砍别人的价，而且还要祝福别人生意兴隆，这样你就会遇到不跟你砍价，和让你生意兴隆的贵人。从现在开始，走出家门之后，去帮衬任何人的生意，不要跟别人讲价，改掉爱砍价、乱砍价的坏习惯。你可以货比三家，然后选择一家最便宜的，但是不要砍价。你要在生活中做到跟别人做生意时，哪怕去买一根葱、一头蒜，你都要去祝福别人生意兴隆，慷慨地帮衬别人。第三，遵守承诺。在所有关系中遵守承诺，你就会种下忠诚的客户、忠诚的事业伙伴、忠诚的下属。之前，姚老师在分享伴侣关系时提到：在伴侣关系中做到忠诚，就会在商业里创造出忠诚的商业关系。有些新朋友可能会很疑惑，伴侣跟商业有什么关系？有关系的，因为种子成熟是有对象差的，在某个人身上种，会在其他人身上收的，无论是伴侣关系，还是商业关系都一样需要遵守承诺的种子。包括给父母的承诺，爸爸妈妈是恩田，是最肥沃的土地，但也是最容易种坏种子的地方。有时，我们答应回家陪父母吃饭，但由于工作忙就又不去了，我们以为无论我们做什么、遵不遵守承诺，父母亲最终都会选择原谅我们，因为血浓于水。但是，请记住！父母原谅了我们，种子的世界不会原谅我们。种子会继续开花结果，而这个恶果最终会回到我们自己身上。你破坏了一个小小的承诺，这个不守承诺的种子，就会创造出在我们世界当中很多不遵守承诺的人，只有你在各种关系中保持忠诚，你才能收获忠诚的关系。以上，是姚老师为你提供的建议。知道做不到，等于不知道。希望得到答案的你能坚持学习智慧，并坚持行动，祝福你生意兴隆！再次谢谢你的提问。
姚老师，您好！ 在日常生活中，我遇到问题时，想要快速、精准地找到相对应的那颗种子。 请问老师，在推断结果和种子时，您的思考逻辑是如何的呢？可不可能存在，类似于一个数学公式的逻辑，运用这个公式，就能立即准确地找到引发问题的那颗种子呢？,这位朋友，感谢你的提问。这是一个非常好的问题，我希望所有看到这个问题，听到这个问题的人，都能了解到这个问题的答案，然后用它来帮助自己、帮助身边更多的人，解决问题、化解困境。现在，我来分享下，解析问题的思路。让我们思考下，面临问题时，我们的第一反应，通常是什么呢？当生意中出现了财务问题，我们脑海中蹦出的第一个原因往往是：生意难做、客户未按时付款.......等等类似的原因。如果我们学习了金刚智慧，会知道，以上这些理由都属于表面因，对吗?表面因相对应的，就是深层因，在这里，我们把表面因称之为“表象”，深层因称之为“真相”。那怎么区分表象和真相呢？其实方法很简单，当我们“向外”寻找原因时，找到的答案，就是表象。比如，面对突然出现在我们生命中的问题，无论是财富匮乏、亲人生病，还是与周围人关系紧张、孩子管教难，当我们不自觉地对外指责、抱怨他人，不停地去找他人或者环境的“错误”时，那我们找到的，就是表象。相反地，当我们“向内”寻找原因时，得到的答案，才是真相。如何“向内”寻找呢？第一步，思维笔的故事、思维问题的空性。第二步，更深一层，去思考，是什么种子让我看到了这个问题呢？为更好地觉察导致问题的因，也就是种子，我们需要借助一些工具。第一个工具，格西麦克老师撰写的《能断金刚》。在《能断金刚》的第七章内，格西麦克老师解读了46个商业问题，并剖析了问题背后的成因。我们可以反复研读这些因果关联，以便找到问题的解药。如果你翻开《能断金刚》这本书，去到第93页，你就会看到，作者格西麦克提到了来自于佛学教育大师龙树菩萨的《宝鬘论》的七波罗蜜，里面也讲到了部分因果关系。第二个工具，十善业，也就是十颗种子。我将十颗种子融入了《能断金刚》46个商业问题的讲解中，便于大家更好地理解这十颗种子。这个，大家也可以去到喜马拉雅，搜索原钻掌心这位主播，很快我们就要在喜马拉雅上架这个大家都非常喜爱的音频节目了。第三个工具，格西麦克老师撰写的《爱种子》（又名《爱的业力法则》）。在《爱种子》这本书里，格西麦克老师解读了100个关于关系的问题，从中你可以找到，你关系问题，所对应的种子。在这本书里，格西麦克老师是将伴侣关系作为切入点来解读的，但实际上，这些问题的解决方案可以延伸到我们所有的关系中。我们可以好好利用这些工具，精微地找出每一个问题对应的种子。但我们不要忘记，解决问题，才是我们的目标。我们只有将种子法则有效地运用到事业、健康、关系、智慧等生活中的方方面面，才能真正地解决问题。所以，如果说，我们要有一个公式，来精准地找到问题所对应的种子，并且解决问题，那么，我们一起来总结一下这个公式吧。第一，思维问题的空性；第二，找到问题的真相；第三，拔除坏种子，种下好种子。如果我们可以好好地运用这个公式，就能解决所有问题，达成任何目标。再次谢谢你的提问，祝你幸福，我亲爱的朋友。
姚老师，你好！我的一位朋友经常向我借钱，每次借的其实也不多，基本上都是吃饭的时候，问我借个 10 块、20 块或 50 块。他不会及时还，有时没还，然后又借。我想知道，这是什么种子造成的？我应该怎么去面对，是借还是不借呢？,这位朋友，谢谢你的提问。你借或不借，都要看你当时的动机。如果你不借他钱，原因是因为自己拮据，不想借他，这就是一颗吝啬的种子。如果你不借，是因为你在想着要如何帮助他赚到更多的钱。这个动机就比刚才那个动机，要提高了维度。我们的动机是最重要的。至于你这位朋友的情况，这里有可能分为两种。第一种情况，朋友的经济真的很拮据。这个时候，我们可以和他做成星巴克伙伴，一起来探讨如何让他拥有更好的赚钱能力，分享经验和资源帮他找到合适的工作、分享智慧让他提升自己的能力。在你力所能及的情况下，也可以给到他一些资金上的帮助。我们在谈到星巴克四步骤时，谈到了帮助他人的三个层次，你可以去判断一下你的朋友在哪个层次上，然后根据他所在的层次，给予相应的帮助。第二种情况，也许在你的眼里，他爱贪小便宜。如果是因为爱贪小便宜，时不时跟你借一点点钱。那么，我们来看看，我们是怎样创造出来这样的朋友呢？那也是因为我们在过去爱贪一些小便宜的种子而创造出来的。所以我们只要去拔掉相关的坏种子就好了。所以，朋友借钱这件事，我们可以做出判断，它是由我们自己的种子造成的，还是朋友真的有困难？然后，我们可以调整自己的动机，根据不同的情况，采取不同的应对方式。祝福你和你的朋友，都拥有氧气般的财富。再次感谢你的提问。
姚老师，你好！两年前，我爱上一个已婚的男人，当时他已经结婚八个月了，他说他的婚姻没有感情，他们也没有小孩。我很爱他，他也很爱我。我从来没想过破坏他的家庭，但是相处时间久了，我还是希望他能离婚跟我在一起。他也想离婚，但是他目前的事业很不顺，甚至还欠着他岳母一些钱，所以也离不了。学习金刚智慧后，我知道这样的行为，会种下不尊重他人伴侣关系的种子，我不知道如何处理这段感情，想分开，却舍不得；想断，又断不了，如此反反复复太痛苦了。姚老师，你能帮帮我吗？,这位朋友，感谢你的提问。亲爱的，我非常理解你痛苦的心情，同时也非常欣赏你面对问题勇于寻找方法的勇气。格西麦克老师说过，那些不遵守婚姻承诺的人，他种下的种子，会在其它关系中回来，尤其体现在事业上。你爱上的这个男人，他的事业非常不顺利，也欠别人一些钱。你想过没有，这些从哪里来的呢？我们学了金刚智慧，我们知道，这是因为他对婚姻的不忠诚带来的结果，我想你一定不希望他的人生是走下坡路的 ，因为你爱他，对吗？种子小，果实大，我为什么会说这些内容呢？很多时候，我们种下一颗小小的坏种子，你很难想象它会长出大大的苦果。如果我们知道，现在正在种下的坏种子会带来更多的坏结果，我相信我们一定会做一个智慧的选择，是吗？如果不放下这段感情，你们甚至会相互怀疑。未来，你也会对他不信任，你也会觉得他会欺骗、出轨、抛弃你；同时，还要承受这个情况所带来的事业和其他方面的诸多不顺利，那一定也不是你想要的，对吗？如果我们明知道种子小，果实大，就如古老经典《掌中解脱》中有一个比喻说到，我们明知道前面有一个悬崖，还要开着马车往前走。如果一位男士，他处在婚姻中，他和你说：我跟我的妻子是没有感情的、我们是随随便便结婚的、我是不爱她的、我是因为这个原因那个原因离不了婚的。这些话，我并不建议你听进去。一段感情，只有干干净净地结束，拔掉这些坏种子。那么，真正纯洁而美好的关系，属于你的关系，才会真正开始。如果不把这个空间腾出来，不把那个布满灰尘，布满垃圾，堆满杂物的房间清理干净，又怎么迎来一个灿烂、宁静、舒适的空间，和一个真正爱你、视你为珍宝的爱人在一起呢？开始你新的生活吧！开始你新的人生旅程吧！你会找到更好的人，你会创造出更爱你的人。学习种种子，而不是继续这样痛苦、纠结。学习金刚智慧，用这个智慧，去创造一个完美伴侣。再次感谢你的提问，祝你早日拥有属于自己的幸福！
姚老师，您好！我孩子六岁了，我希望孩子从小就能拥有智慧，所以，我自己在学习金刚智慧的同时，也教给孩子。但他这两年反而不听话，经常丢三落四，我一教育他，他就回嘴，甚至这样说道：“真不知道你有多少坏种子，才有我这样一个孩子。”请问姚老师，为什么我的孩子学习金刚智慧后，却反而更爱顶嘴了呢？,这位朋友，感谢你的提问。我想一个六岁孩子回敬你的这句话，其实已经给了你最好的答案。首先，孩子是菩萨，是来修理我们的。我曾无数次地说过：“用金刚智慧修理自己，你就是天使，用金刚智慧修理别人，你就成了魔鬼，你身边所有的人，都会离你远去”。孩子是菩萨，是来修理我们的。其实呢，孩子说得也对，确实是你有很多坏种子，才有了这样一个孩子。提到种子，还得忆起空性。你看到的是顶嘴、不听话、丢三落四、不尊重家长、毛病很多的孩子，我却觉得他是一位说话富有哲理且有智慧的孩子。孩子是笔还是磨牙玩具？是由我们的种子决定的。不是吗？其次，孩子是镜子，改变孩子，先改变自己。如何改变孩子？我建议你先从拔除坏种子，先从尊重自己的家长开始。我们来想一想，你现在跟父母亲说话，是不是足够尊重、宽容、聆听？想一想你过去在青春期，或在学习智慧之前，是不是也会经常顶撞父母呢？记住，种子很小，果实很大。种子开花结果让我们被迫看到了一个变本加厉顶嘴的孩子，他，只是我们的镜子。我们要用金刚智慧来改变你自己，拔掉这些坏种子，再种下尊重、宽容、聆听的好种子。再次谢谢你的提问，祝福你早日种出一个听话懂事、尊重长辈的孩子哦！
姚老师，您好！我有一位朋友，她的女儿不想结婚，也抗拒相亲。她曾尝试着跟女儿谈心，希望了解女儿不想结婚的原因，但均未得到正面回应。她现在内心很不安，担心女儿不听话、不想结婚，是因为过去，自己坚决反对其交往外地男友，令其心生怨恨导致。每每听到女儿说不想结婚时，我这位朋友都止不住地难过和担心。请问老师，我的朋友该怎么做，才能减少她对女儿的担心呢？,这位朋友，感谢你的提问。从你的提问中，我感受到了你对朋友的关爱，非常随喜你的这份关爱！其实，解决问题最好的办法，就是让这位妈妈来学习金刚智慧。因为有了智慧，她才知道，如何真正有效地帮助孩子。当我们像往常一样，使用老方法帮助孩子找对象的时候，我们会催促她，或是趁她心情好的时候，苦口婆心地劝导她。但当你真的这么做的时候，你会发现，这些方法有时有效，有时无效。如果恰巧你跟孩子平时缺乏深度交流，就更难成功了。所以，学习智慧就有这么一个好处，就是你不需要费劲地去改变他人，只要改变自己的种子，就能看见孩子的转变。那具体如何做呢？我这里有几点建议。首先，调整动机。我建议这位妈妈，把希望孩子能够拥有幸福美满的伴侣关系，作为自己强大的动机，来激励自己走进金刚智慧的课堂。接着，做好四步骤。第一步，一句话说出你的目标。希望自己的女儿找到幸福美满的伴侣。第二步，找到有相同目标的业力伙伴，制定计划去帮助他。关注一下，身边有没有正好也在寻找伴侣的朋友，或年轻人，把他作为业力伙伴，制定计划去帮助他。第三步，付诸行动。把业力伙伴的目标当成自己的目标，每周1次，每周至少1小时，真正付诸行动，去帮助他。帮他克服担心，克服恐惧，帮他找到伴侣、找到真爱！第四步，咖啡冥想。每天晚上临睡前，带着喜悦的心情，仔细回想自己帮助业力伙伴的各种细节，回向给自己的女儿。当梳理好以上四步骤之后，我们再来看看，要种下什么样的种子。第一颗：和谐种下和谐的种子，可以创造出女儿和她的爱人彼此和谐相处，并愿意相伴终生。第二颗：影响力种下影响力的种子，可以让女儿听从妈妈的建议。第三颗：爱和关怀种下爱和关怀的种子，可以让女儿拥有爱。妈妈可以先带孩子一起去陪伴孤独的老人，借此种下陪伴的种子，然后回向给孩子。当孩子内心，爱的种子足够丰厚的时候，她会想要把爱给出去。同时，她也会看到有别人主动来爱她。我不知道，这位妈妈是否学习过金刚智慧，如果从未接触过，那我建议她尽快来到课堂。在原钻掌心，我们设计的课程，可以提供给不同阶段的朋友们。比如，深受金刚小白们喜爱的《能断金刚，新手上道》音频课程，会教授大家如何种下“十善业”对应的十颗好种子。其中第三颗，尊重他人伴侣关系，就非常对应地，可以帮助到这位妈妈和她的女儿。如果想系统地学习和践行，也非常欢迎这位妈妈来学习《变形金刚特训营》课程。一年365天，姚老师承诺你的成功，你只要承诺你的行动。预祝这位妈妈，可以真正掌握空性和种子的智慧，从根本上，真正有效地，去帮助到自己的孩子。推动摇篮的手，是推动世界的手。愿天下每一位母亲，都是觉醒的，智慧的。愿天下每一位母亲，都推动着孩子的摇篮，推动着世界和平与爱！再次感谢你的提问。
“笔的故事”真的那么简单吗？真的能讲清楚空性的道理吗？,格西老师曾说：“笔的故事，每个人都要听3000次，并且要分享3000次，才能够真正明白笔的空性。” 格西老师反反复复地讲笔的故事，用笔来诠释空性，从 DCI 1 阶就开始讲“笔的故事”代表空性的道理。 一开始，我不以为然，但也按老师说的去做，不断地听，不断地分享，翘首期盼格西老师 DCI 2 阶时，会有更深入的内容，结果老师DCI 2 阶又讲”笔的故事“。 慢慢的，我发现格西老师每一节课程里最核心、最基础的内容就是“笔的故事”，就是空性。 我当时很疑惑：为什么要重复讲“笔的故事”呢？我们自己讲3000次、跟别人分享3000次就可以了，为什么老师还要在课程里不断重复呢？ 后来，经过一年多的学习和感悟，我以为自己已经完全掌握了笔的故事，就特别骄傲地邀请朋友来听，他们大多是企业里的高管，高级知识分子，或者大老板。 当他们听完我讲的“笔的故事”后，语重心长地跟我说：“没那么简单，空性并不像格西老师讲的那么简单。” 多年跟随师父学习佛法的伙伴也跟我说：“这个洋和尚，用笔来讲空性，把空性讲得太简单，太直白了，空性根本不是那么一回事。” 当这些不同的声音进入我的耳朵里时，我却无以为辩，只能默默地在心里打一个问号。但，很庆幸我拥有足够的好种子，所以，我并没有因为这些疑问，而放弃跟随格西老师的学习。 在美国和墨西哥参加格西老师的《掌中解脱》、《能断金刚》和《莲花戒大师论释能断金刚经》等经典的学习过程中，我才发现格西老师的良苦用心。 他并非不会讲更深刻的空性，而是他知道大部分同学对空性的理解，还处于婴儿阶段，处于最基础的阶段。对于这些同学，并不适合讲太深刻的空性，这就好比，硬要在小学阶段去讲研究生的课程，所有的人都会被吓到。 每一个人都是从简到难地学习和掌握知识，智慧的学习和掌握也是同样的道理，也是需要一个循序渐进的过程。 格西老师一边循序渐进地加深我们对空性的理解，一边教我们如何把空性运用到生活和工作中，从而帮助我们获得财富、健康、圆融的人际关系，使我们懂得生命的意义，学会体验更多的快乐和幸福。 格西老师自始至终都将空性的学习、教授和实践紧密结合在一起。 正是因为用最浅显的方式教授空性，我们才能理解空性，并给我们的人生带来巨大的改变，我们才能够对玄妙的空性产生更多的欢喜和信心，从而愿意走进更深入学习空性的课堂。 格西老师在不知不觉中，浸润式地加强了我们对空性一层又一层的学习、剖析和理解，并且在机缘成熟时，引导我们走上更深入学习和践行空性的道路。 格西老师反复强调：Fotuo 在所有的经典中最想要跟大家分享的就是空性，所有的佛经都是 Fotuo 善巧方便的法门，只有空性，才是 Fotuo 真正想要教给我们的东西。所以，“笔的故事”我们要听3000遍、讲3000遍，我们才有机会更深入地学习和践行空性，才能有机会真正的理解空性。
在《能断金刚》的第五章开头，格西老师用“讨厌鬼”的例子来说明空性。他说，这个人身上，不具备任何令人讨厌，或令人喜欢的特质，还说，一定有来自别处的原因，使我们讨厌这个人。 这个“别处”指的是“讨厌鬼”之外的别处，还是我们之外的别处呢？,非常随喜赞叹这位同学的认真和精进，这是一个非常好的问题！ 这个“别处”，指的是“讨厌鬼”之外的别处。 在书中第五章，格西老师说：如果一个人“令人讨厌”，是存在于他自身的某种特质，那么这种特质，就应该由其内在而向外扩展，传递给周围的每一个人。 换句话说，如果他是一个“令人讨厌”的人，“讨厌鬼”是他的本质的话，应该每个人都会讨厌他。 但实际上，我们眼里看到的讨厌鬼，他也有朋友、爱人和欣赏他的人。 哪怕大家坐在一个桌子上吃饭，他讲了一个笑话，你觉得他讲的真恶心、很讨厌。但是你却会看到，有其他同事给他拍照，有人对他表示欣赏，也有人对他的行为投去赞许的目光等等。 这个现象向我们证明了：“讨厌鬼”并不是他的标签，讨厌鬼是我们创造出来的。 所以这个“别处”，指的就是“讨厌鬼”之外的别处。 “别处”在哪里呢？“别处”就在我们自己这里，在我们自己的种子库里。 是我们过去对他人种下过类似的种子，在这一刻开花结果，让我们看到这个人“令人讨厌”的特质，这实际是我们自己创造的。
坚持记录六时书一段时间之后，有时懒惰不想写，有时又因其他事情耽搁就没有记，种下了很多违背承诺的坏种子。在其他事情上，也经常种下违背承诺的坏种子。 请问老师，这么多的坏种子，我该怎么办？,第一点：想记录好六时书，一定要学会欣赏和肯定自己！ 其实姚老师目前在记录六时书上，也是反反复复，螺旋式上升。 我们都有很多或好或坏的种子。有一些坏的习气在牵引我们，同时我们也在种下很多好种子，在形成一些好的新习惯。 进步不是一蹴而就的，就像爬山一样，不可能一步登顶。我们的成长，是螺旋状或像心电图一样，起起伏状，但总归还是有进步的，所以，我们要学会欣赏自己。  第二点：许下承诺，然后又违背了，我们要用四力量拔除坏种子。 1、看清楚事物的空性 没有遵守承诺记录六时书，这件事是空性的，坏种子的开花结果，让我们看到自己违背了承诺。同时，当我们觉知自己违背了承诺，就代表我们已经有螺旋式的进步，这就是在种下好种子了。未来，是可以经由现在种下的好种子而改变的。2、我们要明智地、有力量地忏悔 我们要忏悔，而不是内疚。我看到你提出的问题里，有很多的内疚和自责，这样拔除坏种子的力量会很弱，明智地忏悔就可以了。 “我知道这件事是我没做好，但是很棒的是，我已经觉知到了，并向老师求救，我愿意继续去做，继续加油，去改善这种情况。”这就是很有力量的忏悔。 3、做一个承诺 这一步很重要，可以帮助你解决这个问题。这个承诺，是在你能确保的范围里做，在你可以达成的目标里去做。 千万不要说：从现在开始我一辈子都要记录六时书！你可以这样对自己承诺：在接下来的十天里，坚持每天至少三次记录。 当你完成了这十天的承诺，一定要给自己一个欣赏和鼓励，再接着跟自己说：再记录一个十天。 如果你觉得累了，辛苦了，可以对自己说：休息三天再接着记。 要小心翼翼地、在合理的范围内做出承诺，然后去遵守这个承诺。 然后重复这个过程，你会发现自己在这个过程中，种下了很多好种子。这样，你就能更加轻松愉快地，去完成这些修行任务。不要一次给自己太多的功课和压力，否则就享受不到修行中的快乐了！ 4、做反方向的弥补 如果你违背了你的承诺，要做一个反向的事情，来进行弥补。 比如，马上回想一些，曾经答应过别人的事情，立即去做，并为自己遵守了承诺而感到开心，把这个“遵守承诺的好种子”回向给你之前违背的承诺，希望可以改掉这个缺点和错误。只要我们用这四个力量去拔除过往的坏种子，就可以改善这一切。
我儿子今年 12 岁了，特别喜欢看流行的网络文学，不爱看经典著作，家里的经典书籍一直闲置在书架上，请问老师，我要种什么好种子，才能让他多看一些有意义的书呢？,感谢这位学员的提问。首先，我们自己要多学习经典智慧。 孩子的行为，实际上是我们的投射，如果我们自己喜欢看网络书籍，里面有色情、暴力或者错误的世界观，这些都会投射到我们孩子的身上。 问问我们自己，一天中有多少时间是泡在网上的，其中有多少时间是真正在学习有智慧、有价值的内容呢？又有多少时间是在看没有意义、没有营养的八卦？ 我们要清楚，正是因为自己对网络也有依赖，不分精华和糟粕的随便浏览、打发时间，才会创造出相同的孩子来。 想改变这一状况，可以试试下面的步骤： 第一步，先觉察自己在学习智慧与浏览八卦上花费时间的比例； 第二步，做一个小计划， 增加学习智慧、分享智慧的百分比，也同时减少了谈论家长里短、观看八卦新闻的百分比，把更多的时间用到学习和分享智慧上，提升自己的精神和灵魂层面的高度； 第三步，把自己的好种子回向给自己的孩子，希望他能更多的学习智慧，增长智慧。 同时，我们可以用星巴克四步骤。 找到一个有相同问题的妈妈，跟她每周一次、每次一小时分享，如何让孩子少受网络糟粕的影响，愿意学习有意义、有价值的经典智慧，并乐在其中。 永远记住，愿力比能力重要。我们愿意去协助另一个母亲，改变孩子不愿意学习经典的坏习惯，如同帮助自己一样去帮助她，这种愿力最终将种下种子，让我们拥有一个愿意学习经典，在智慧的海洋里去成长徜徉的孩子。
